Week,Semana_Num,Weekly_Total,Cumulative_Grand_Total,Total_Coverage,12M_Coverage,18M_Coverage,6A_Coverage,Adult_Coverage,12 Meses,18 Meses,6 Años,10-12 a,13-19 a,20-39 a,40-49 a
SE37,37,374.0,13175.0,12.793497892835642,760.9218436873747,525.8517034068136,559.4642857142858,862.1428571428572,160.0,110.0,92.0,0.0,0.0,0.0,12.0
SE38,38,1170.0,14345.0,13.929618768328444,843.4869739478958,572.1442885771543,600.5357142857143,932.8571428571429,412.0,231.0,230.0,0.0,0.0,0.0,297.0
SE39,39,793.0,15138.0,14.699656250606902,887.5751503006011,609.2184368737475,631.4285714285714,984.047619047619,220.0,185.0,173.0,0.0,0.0,0.0,215.0
SE40,40,2259.0,17397.0,16.893243479443008,936.87374749499,665.9318637274549,733.3928571428571,1260.0,246.0,283.0,571.0,0.0,0.0,0.0,1159.0
SE41,41,6835.0,24232.0,23.53032568798431,1096.3927855711424,777.9559118236473,1089.4642857142858,2090.0,796.0,559.0,1994.0,47.0,98.0,0.0,3341.0
SE42,42,11654.0,35886.0,34.8468664426793,1271.3426853707415,929.4589178356713,1376.607142857143,4094.047619047619,873.0,756.0,1608.0,4429.0,1780.0,0.0,2208.0
SE43,43,356.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,28.0,24.0,39.0,131.0,69.0,0.0,65.0
SE44,44,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE45,45,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE46,46,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE47,47,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE48,48,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE49,49,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE50,50,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE51,51,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE52,52,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE53,53,0.0,36242.0,35.19255792274378,1276.9539078156313,934.2685370741483,1383.5714285714284,4157.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
